,Polarity,Sensitivity,Tweet_vol,Open,High,Low,Close_Price,Volume_BTC,Volume_Dollar
2018-07-11 20:00:00,0.10265670748614593,0.2161484594712948,4354.0,6342.97,6354.19,6291.0,6350.0,986.73,6231532.37
2018-07-11 21:00:00,0.09800395297609979,0.21861239516350076,4432.0,6352.99,6370.0,6345.76,6356.48,126.46,804221.55
2018-07-11 22:00:00,0.096688157984185,0.23134226427071905,3980.0,6350.85,6378.47,6345.0,6361.93,259.1,1646353.87
2018-07-11 23:00:00,0.10399680386738358,0.21773906718462854,3830.0,6362.36,6381.25,6356.74,6368.78,81.54,519278.69
2018-07-12 00:00:00,0.09438312650721589,0.19525553005949456,3998.0,6369.49,6381.25,6361.83,6380.0,124.55,793560.22
2018-07-12 01:00:00,0.10083589375817485,0.22307632548845852,3713.0,6379.13,6380.0,6347.72,6365.43,141.5,900280.85
2018-07-12 02:00:00,0.11196434299776009,0.19504306787217274,3843.0,6365.24,6371.8,6324.48,6327.94,141.3,896772.74
2018-07-12 03:00:00,0.1058881862567768,0.20993930342403327,3831.0,6328.4,6348.45,6302.18,6326.98,162.37,1026431.72
2018-07-12 04:00:00,0.10811700734669442,0.2080032419342465,3743.0,6327.49,6343.22,6327.49,6339.5,58.62,371327.65
2018-07-12 05:00:00,0.10666706633974728,0.21723050559221535,3480.0,6342.22,6344.57,6328.0,6333.05,74.75,473450.28
2018-07-12 06:00:00,0.09819201661175399,0.20621768833627077,3954.0,6333.05,6335.55,6305.0,6329.57,130.84,827194.5
2018-07-12 07:00:00,0.08077478187342219,0.1908144600898383,4561.0,6329.9,6334.74,6177.45,6217.63,1211.64,7536289.75
2018-07-12 08:00:00,0.08877735580061678,0.18471850163515346,5621.0,6217.03,6223.14,6131.35,6180.5,758.15,4677685.75
2018-07-12 09:00:00,0.09758133933891651,0.20191214692260073,5046.0,6180.46,6200.82,6085.59,6200.82,1090.25,6719480.12
2018-07-12 10:00:00,0.0919128767665898,0.19896478587190344,5511.0,6200.23,6205.0,6175.01,6185.82,289.87,1794667.77
2018-07-12 11:00:00,0.08382532077920526,0.21731816466526058,5277.0,6185.4,6187.99,6157.03,6175.18,212.3,1310453.07
2018-07-12 12:00:00,0.07710081294119074,0.19552642595451625,5493.0,6174.5,6182.13,6144.35,6162.41,261.02,1608275.15
2018-07-12 13:00:00,0.07714852137139602,0.2089173589675423,5455.0,6167.17,6191.99,6155.0,6180.31,246.37,1522744.15
2018-07-12 14:00:00,0.09711192039767963,0.23622240576351314,5811.0,6180.3,6183.99,6170.99,6182.99,258.89,1599120.65
2018-07-12 15:00:00,0.09680845597780355,0.21027440482122478,5676.0,6182.98,6199.57,6173.5,6180.97,275.0,1700530.69
2018-07-12 16:00:00,0.08795242249876736,0.20152286913506204,5983.0,6178.59,6182.55,6159.01,6169.51,166.21,1025666.81
2018-07-12 17:00:00,0.09484858580147021,0.21709007457257146,5699.0,6168.44,6192.89,6166.78,6181.23,342.08,2115989.77
2018-07-12 18:00:00,0.10102371245440893,0.21088171207458137,5273.0,6184.08,6189.0,6167.64,6179.12,168.14,1039237.28
2018-07-12 19:00:00,0.08611796809952112,0.21457562723378382,4950.0,6179.12,6185.0,6165.22,6173.99,103.57,639670.03
2018-07-12 20:00:00,0.07871816379987928,0.20741734995274183,4874.0,6171.06,6180.17,6150.43,6174.76,148.79,916929.71
2018-07-12 21:00:00,0.08719564027112042,0.21046084704329635,4289.0,6179.38,6187.42,6166.91,6173.05,120.99,747520.42
2018-07-12 22:00:00,0.09749038298261782,0.20786096842163276,4290.0,6170.03,6176.66,6153.52,6171.68,81.22,500729.79
2018-07-12 23:00:00,0.09420668493105305,0.20923114266523665,4404.0,6171.94,6173.61,6110.08,6149.11,309.59,1901284.59
2018-07-13 00:00:00,0.10956030065574314,0.2068723907309987,4339.0,6149.11,6267.31,6072.0,6243.88,1039.01,6412278.5
2018-07-13 01:00:00,0.10593316924470407,0.2131436722864252,4112.0,6243.53,6284.05,6214.94,6236.88,466.27,2910899.5
2018-07-13 02:00:00,0.10359979844473564,0.2018777254766838,4080.0,6236.88,6249.82,6231.94,6232.71,114.45,714175.12
2018-07-13 03:00:00,0.12033375545093368,0.21227923614457503,4205.0,6232.88,6254.67,6228.76,6242.9,187.3,1168928.22
2018-07-13 04:00:00,0.09555287236451558,0.21991078312830303,4395.0,6242.89,6252.93,6236.55,6249.87,139.55,871611.63
2018-07-13 05:00:00,0.10343047308156335,0.2078529458176204,4179.0,6248.2,6264.75,6236.01,6245.68,219.95,1375165.61
2018-07-13 06:00:00,0.10165723968487432,0.20809832469539916,3760.0,6245.68,6256.75,6229.16,6244.39,242.49,1513210.93
2018-07-13 07:00:00,0.10223004766291056,0.2149359673062899,3875.0,6243.18,6247.98,6212.21,6230.01,184.38,1148580.47
2018-07-13 08:00:00,0.1061120472247678,0.21574199226407428,5072.0,6230.4,6253.9,6229.38,6249.19,236.18,1474017.93
2018-07-13 09:00:00,0.09147283872454708,0.18770163229568787,4500.0,6247.92,6250.0,6229.1,6233.96,128.9,804393.43
2018-07-13 10:00:00,0.09960890509981808,0.19122042226411262,4818.0,6232.96,6245.47,6230.0,6234.85,154.3,962281.91
2018-07-13 11:00:00,0.0927953202648664,0.1917962908425336,4671.0,6234.85,6245.87,6226.18,6234.22,94.38,588479.19
2018-07-13 12:00:00,0.0869831026241589,0.19715054617599975,5181.0,6232.0,6248.99,6228.08,6241.75,62.82,391997.33
2018-07-13 13:00:00,0.09692751891658319,0.2049111160954309,5298.0,6240.4,6286.36,6238.0,6269.06,423.94,2655456.13
2018-07-13 14:00:00,0.0975848422049594,0.20262327763048915,5200.0,6272.4,6275.68,6228.67,6244.01,394.0,2460513.08
2018-07-13 15:00:00,0.10318213207626475,0.21142511129952493,5116.0,6237.15,6264.35,6224.15,6245.99,255.99,1599106.41
2018-07-13 16:00:00,0.09606416499703117,0.2121576620421563,5240.0,6245.99,6259.88,6237.0,6259.88,195.93,1224745.98
2018-07-13 17:00:00,0.09716123209848189,0.21828153018266372,5558.0,6259.88,6268.05,6240.81,6254.99,211.09,1319500.19
2018-07-13 18:00:00,0.08435959209609739,0.21622885818149584,5611.0,6254.99,6267.99,6247.11,6264.94,97.84,612655.54
2018-07-13 19:00:00,0.08853718581752755,0.2203785027686758,5462.0,6264.91,6337.25,6226.99,6237.5,571.75,3589882.19
2018-07-13 20:00:00,0.0923034543430853,0.2199720754596997,5030.0,6237.5,6245.78,6166.44,6174.99,521.21,3228298.36
2018-07-13 21:00:00,0.10018122677823735,0.21611214688146882,4852.0,6177.35,6227.63,6121.01,6186.39,612.28,3779623.53
2018-07-13 22:00:00,0.10095012149820683,0.23085818907913763,4449.0,6185.5,6229.0,6180.01,6215.85,125.81,780174.87
2018-07-13 23:00:00,0.11346724247140308,0.22556652665784083,4208.0,6211.37,6225.39,6190.26,6219.58,123.72,767545.63
2018-07-14 00:00:00,0.05169492007778798,0.2185650123938273,4371.0,6219.99,6248.94,6196.0,6215.59,136.74,850825.64
2018-07-14 01:00:00,0.09950923554101743,0.22060445900732564,3907.0,6208.78,6273.97,6208.78,6237.99,219.37,1370473.06
2018-07-14 02:00:00,0.11187410939405774,0.22028445640469782,3231.0,6237.98,6277.72,6214.11,6234.38,171.24,1069456.99
2018-07-14 03:00:00,0.10049279048164703,0.2031050426370831,3558.0,6231.23,6240.0,6219.1,6225.99,56.15,349888.49
2018-07-14 04:00:00,0.11271226782329019,0.22446433324987639,3130.0,6226.86,6227.67,6193.5,6206.99,94.03,583969.64
2018-07-14 05:00:00,0.09652272423735637,0.2239328919413107,3415.0,6203.33,6224.8,6200.03,6216.99,66.12,411019.51
2018-07-14 06:00:00,0.09735811595016998,0.20637940889185272,3114.0,6218.51,6233.38,6210.57,6220.53,78.19,486424.82
2018-07-14 07:00:00,0.103780244266209,0.19285173493268665,3499.0,6220.53,6230.1,6201.97,6212.81,75.07,466915.22
2018-07-14 08:00:00,0.09451085162950595,0.2025488814114996,4442.0,6212.92,6225.0,6204.91,6220.06,95.79,595704.78
2018-07-14 09:00:00,0.09481203456127497,0.2014438040928016,3641.0,6221.8,6225.0,6203.79,6216.2,98.38,611258.48
2018-07-14 10:00:00,0.07857615183932219,0.21936172359370504,4093.0,6216.2,6219.54,6180.0,6195.32,130.22,807423.98
2018-07-14 11:00:00,0.08584598156862444,0.19659144803432638,4381.0,6203.99,6223.48,6195.73,6220.48,39.45,244914.76
2018-07-14 12:00:00,0.08813036199981587,0.1932656188149632,4271.0,6220.48,6239.45,6215.79,6233.0,42.5,264821.93
2018-07-14 13:00:00,0.08948837953046157,0.1764872249522045,4890.0,6231.13,6242.21,6224.63,6236.12,82.37,513436.44
2018-07-14 14:00:00,0.09100328219923783,0.19926593911037072,4768.0,6235.76,6240.92,6222.8,6237.0,32.42,201957.74
2018-07-14 15:00:00,0.08687249609815059,0.1916351459166318,4637.0,6231.95,6244.43,6226.23,6238.2,48.81,304512.55
2018-07-14 16:00:00,0.08541838397706564,0.21048857295933338,4399.0,6238.2,6240.0,6216.18,6239.99,47.57,296455.69
2018-07-14 17:00:00,0.08328018219976788,0.2299954327739967,4293.0,6239.55,6270.69,6239.55,6262.0,133.93,838019.93
2018-07-14 18:00:00,0.07986841649398306,0.23248332235550573,3861.0,6262.99,6270.59,6248.74,6255.49,259.41,1624071.38
2018-07-14 19:00:00,0.08645546626420972,0.2160339791712785,3862.0,6259.54,6298.0,6229.48,6237.68,68.14,426747.86
2018-07-14 20:00:00,0.0803049219512289,0.2035296529301919,3989.0,6239.99,6269.53,6200.01,6267.99,146.93,916476.48
2018-07-14 21:00:00,0.09313462281643681,0.21950797348744835,4056.0,6269.53,6317.84,6205.47,6270.31,425.57,2664428.61
2018-07-14 22:00:00,0.10330089707235551,0.2213597069578388,3466.0,6270.3,6286.37,6257.13,6265.61,54.81,343757.75
2018-07-14 23:00:00,0.1016246044466636,0.21187473667744447,3453.0,6265.07,6277.9,6238.48,6246.57,63.91,399501.47
2018-07-15 00:00:00,0.0864592626553321,0.19637008784261328,3344.0,6250.99,6261.06,6238.56,6243.98,54.37,339748.71
2018-07-15 01:00:00,0.07440800340954984,0.1743302508093639,3890.0,6245.99,6255.86,6227.76,6243.42,63.46,396208.02
2018-07-15 02:00:00,0.0915358690871106,0.19087176337574935,3136.0,6243.42,6247.97,6227.94,6243.93,36.89,230131.13
2018-07-15 03:00:00,0.09914894113188646,0.22633646719980086,3121.0,6238.55,6250.64,6232.06,6249.61,38.61,240983.43
2018-07-15 04:00:00,0.09269128033174369,0.20158160932478608,3397.0,6249.61,6252.85,6235.12,6248.6,175.88,1097749.25
2018-07-15 05:00:00,0.09695839056043458,0.19882088768184314,3391.0,6248.6,6277.28,6248.6,6266.27,77.26,484027.1
2018-07-15 06:00:00,0.12450486511852196,0.22112820700711325,3328.0,6266.16,6280.41,6258.72,6275.95,46.05,288836.56
2018-07-15 07:00:00,0.09886699358415067,0.1922772522539518,3751.0,6278.82,6283.57,6266.26,6274.99,86.17,540629.42
2018-07-15 08:00:00,0.09638586963250619,0.23420282158809147,4613.0,6270.26,6279.5,6256.5,6277.0,22.0,137960.07
2018-07-15 09:00:00,0.11079858545480196,0.2238421316836582,3865.0,6277.0,6349.47,6267.31,6311.47,299.95,1891954.57
2018-07-15 10:00:00,0.12746877528258949,0.2210325665216091,4084.0,6305.67,6330.99,6296.72,6302.99,199.63,1260251.48
2018-07-15 11:00:00,0.11613103897994907,0.20725430234489425,4156.0,6303.85,6384.47,6303.85,6336.0,508.32,3225731.02
2018-07-15 12:00:00,0.12037205312234482,0.21536085572628175,4178.0,6332.99,6359.81,6325.96,6353.01,357.15,2268610.84
2018-07-15 13:00:00,0.1224113024788006,0.2383234237419322,4683.0,6353.01,6360.89,6324.21,6329.26,91.99,583242.7
2018-07-15 14:00:00,0.11634313134396287,0.22410089987047924,4303.0,6329.26,6359.06,6322.03,6354.96,111.84,709071.63
2018-07-15 15:00:00,0.11613708011053502,0.21907138095607506,4397.0,6356.86,6362.94,6327.14,6347.99,140.14,889382.77
2018-07-15 16:00:00,0.10994101696467028,0.22797746121598397,3801.0,6347.98,6376.98,6342.62,6372.36,249.59,1586484.37
2018-07-15 17:00:00,0.10674266070473043,0.22293243238284421,4492.0,6374.58,6397.21,6362.7,6374.74,106.36,678296.77
2018-07-15 18:00:00,0.10997613960865056,0.23374366728242235,3964.0,6378.88,6393.51,6354.12,6383.0,294.5,1879818.44
2018-07-15 19:00:00,0.09045161714398493,0.22638789619776556,3445.0,6383.0,6383.0,6349.47,6349.72,65.63,417658.22
2018-07-15 20:00:00,0.08711509708244283,0.20652699734090604,3505.0,6354.97,6372.94,6349.47,6362.99,72.23,459477.97
2018-07-15 21:00:00,0.09560266939710707,0.23638891925416997,3590.0,6362.99,6372.69,6355.29,6372.69,83.2,529393.61
2018-07-15 22:00:00,0.08745570188051328,0.22338895192084685,3198.0,6372.87,6397.21,6369.12,6379.95,157.75,1006828.31
2018-07-15 23:00:00,0.10067384092591479,0.22686999793487084,3187.0,6379.95,6388.82,6350.11,6361.63,177.91,1133835.24
2018-07-16 00:00:00,0.10101162074136555,0.2264012474010806,2998.0,6361.68,6373.07,6336.01,6349.3,93.76,595245.86
2018-07-16 01:00:00,0.10680389406136827,0.21421138664372769,3695.0,6353.25,6377.82,6340.53,6350.52,117.74,748249.33
2018-07-16 02:00:00,0.10851873206700755,0.19241046825043112,3771.0,6349.46,6354.99,6339.58,6345.61,112.25,712492.32
2018-07-16 03:00:00,0.13063382784526975,0.22876741282697635,3299.0,6345.49,6363.53,6333.63,6351.87,223.51,1417294.48
2018-07-16 04:00:00,0.11510180723062108,0.2266974492155823,3171.0,6351.68,6370.0,6346.49,6352.93,198.15,1260752.84
2018-07-16 05:00:00,0.1242101033830687,0.2237514837713046,3683.0,6352.99,6357.17,6338.86,6344.03,97.74,620504.75
2018-07-16 06:00:00,0.10025139746450885,0.199866336615423,3831.0,6344.03,6367.99,6342.76,6362.99,158.7,1009238.67
2018-07-16 07:00:00,0.12006243489878858,0.22294543258347715,3948.0,6362.99,6380.01,6355.07,6363.13,119.64,761752.33
2018-07-16 08:00:00,0.10381535148494486,0.2060067827853573,4602.0,6362.98,6365.67,6348.41,6359.74,157.83,1002695.44
2018-07-16 09:00:00,0.08866044469405736,0.18684176442941863,4378.0,6359.74,6396.08,6340.0,6368.02,372.24,2369598.53
2018-07-16 10:00:00,0.09820637577528245,0.2007961587303575,5585.0,6367.99,6530.0,6360.0,6522.15,1147.69,7418674.01
2018-07-16 11:00:00,0.09356232328934064,0.19267955935679784,5841.0,6516.03,6553.0,6496.46,6542.77,610.8,3983335.56
2018-07-16 12:00:00,0.09658528762607382,0.2045681165582683,6359.0,6542.99,6667.0,6527.19,6625.99,912.03,6022860.97
2018-07-16 13:00:00,0.09206061790845212,0.2004977756567726,7133.0,6627.99,6633.18,6587.3,6599.25,436.89,2886535.04
2018-07-16 14:00:00,0.08435536040922695,0.19198055858976187,7280.0,6598.72,6619.97,6576.8,6588.18,398.27,2627631.55
2018-07-16 15:00:00,0.08570224612525416,0.21248864453032987,6690.0,6581.87,6631.4,6580.0,6621.57,369.45,2443755.81
2018-07-16 16:00:00,0.0823167728730463,0.21623361865548119,6271.0,6627.63,6647.85,6608.26,6623.44,320.53,2124754.87
2018-07-16 17:00:00,0.10487584012803086,0.22430729253806994,5898.0,6628.12,6652.26,6610.63,6617.04,697.8,4633743.83
2018-07-16 18:00:00,0.09189594855473172,0.22327380578556333,5539.0,6619.98,6724.78,6613.72,6665.62,933.84,6232959.77
2018-07-16 19:00:00,0.10079133823349082,0.22437945772881346,4967.0,6665.8,6700.0,6659.51,6660.56,436.1,2913361.09
2018-07-16 20:00:00,0.09804340086611076,0.20411718528510103,4937.0,6661.02,6689.94,6635.0,6675.01,297.5,1981897.93
2018-07-16 21:00:00,0.09274331640552068,0.21826697869065195,4692.0,6674.96,6674.96,6651.01,6661.11,245.83,1638392.23
2018-07-16 22:00:00,0.09794827588098068,0.2304500396151745,4290.0,6656.59,6668.32,6641.35,6661.66,151.51,1008524.63
2018-07-16 23:00:00,0.08960596210615844,0.21113579037868058,3996.0,6659.17,6697.23,6651.91,6671.97,188.37,1257005.96
2018-07-17 00:00:00,0.08441498966342256,0.2037877247804514,4159.0,6668.87,6755.0,6662.04,6721.04,699.65,4700740.52
2018-07-17 01:00:00,0.07757985257908753,0.18945709572627084,4146.0,6721.21,6741.59,6700.36,6740.87,375.73,2526123.13
2018-07-17 02:00:00,0.07779411857484508,0.18151144554436457,4063.0,6741.59,6749.11,6696.0,6721.0,247.99,1666318.6
2018-07-17 03:00:00,0.08803316649020877,0.1952945358226273,3542.0,6720.99,6734.87,6712.29,6734.4,194.25,1307163.64
2018-07-17 04:00:00,0.0806055176814734,0.1885409205374097,3596.0,6734.4,6749.7,6724.5,6738.86,247.25,1665494.07
2018-07-17 05:00:00,0.07906925575205598,0.19812163257553825,3943.0,6738.86,6755.14,6702.91,6707.47,328.33,2207847.78
2018-07-17 06:00:00,0.08166557090545308,0.19882072906332557,3782.0,6706.12,6718.3,6679.58,6688.11,306.45,2053621.55
2018-07-17 07:00:00,0.08926668742545193,0.19717730891360571,3740.0,6689.3,6696.63,6657.95,6670.93,387.29,2587491.88
2018-07-17 08:00:00,0.08669627364776912,0.20270935828254522,4895.0,6671.21,6702.19,6668.64,6698.76,194.46,1300997.96
2018-07-17 09:00:00,0.08404939264271787,0.19747495622359693,4598.0,6699.66,6734.78,6694.19,6715.07,341.46,2294438.1
2018-07-17 10:00:00,0.07728310090551337,0.213912814430054,4858.0,6719.97,6719.97,6693.17,6702.3,173.23,1161670.06
2018-07-17 11:00:00,0.0880541898029587,0.21086802375649,5356.0,6697.33,6720.0,6696.01,6718.26,155.38,1042120.84
2018-07-17 12:00:00,0.09866325851638935,0.22829437247301043,5903.0,6719.21,6724.34,6675.63,6683.14,201.22,1348614.56
2018-07-17 13:00:00,0.09947119183344791,0.21600808100382315,5666.0,6682.19,6708.01,6674.6,6699.3,341.78,2287346.9
2018-07-17 14:00:00,0.10386293404796708,0.23763323401516648,5770.0,6699.76,6710.0,6682.88,6697.53,207.8,1391864.94
2018-07-17 15:00:00,0.10365502473897838,0.2271468083106765,5911.0,6696.0,6764.47,6690.25,6718.0,477.88,3212613.38
2018-07-17 16:00:00,0.09877498471380912,0.21739572998063075,6300.0,6718.0,6789.0,6711.68,6779.23,407.12,2747512.48
2018-07-17 17:00:00,0.09924709835707923,0.21905868387840996,5622.0,6778.18,6778.18,6733.51,6751.72,294.3,1986746.72
2018-07-17 18:00:00,0.09450994365782446,0.2215815521217022,7995.0,6748.56,7264.47,6745.83,7183.99,2640.49,18620560.8
2018-07-17 19:00:00,0.08938425271174924,0.23788686788771463,10452.0,7186.99,7468.31,7171.33,7346.91,2600.32,19126407.89
2018-07-17 20:00:00,0.08826820193223708,0.22801567852606405,7354.0,7348.42,7375.65,7295.13,7295.13,874.26,6408774.66
2018-07-17 21:00:00,0.08757832718459517,0.2214965284757343,6001.0,7295.13,7332.21,7295.13,7317.11,582.84,4263944.05
